Command line: train_new.py
================================================================================
Training started at 20260415-071116
Algorithm: QRD3QN
Environment: SuperMarioBros-1-3-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 40000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
Death-Zone Boost: window=150 min_samples=30 spread_thresh=100.0 boost_eps=0.35 duration=200 cooldown=100 x_offset=200.0 min_x=300.0
================================================================================
Ep    1 |OrigR: 225.0 ShpR: 533.5 |X: 374.0( 374.0) AvgX100: 374.0 |AvgR: 533.5 |Ls:0.0187 |Eps:0.9975 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    2 |OrigR: 148.0 ShpR: 390.8 |X: 276.0( 374.0) AvgX100: 325.0 |AvgR: 462.1 |Ls:0.0119 |Eps:0.9950 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    3 |OrigR: 158.0 ShpR: 426.3 |X: 254.0( 374.0) AvgX100: 301.3 |AvgR: 450.2 |Ls:0.0114 |Eps:0.9925 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    4 |OrigR: 169.0 ShpR: 442.9 |X: 267.0( 374.0) AvgX100: 292.8 |AvgR: 448.4 |Ls:0.0125 |Eps:0.9900 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    5 |OrigR: 106.0 ShpR: 272.1 |X: 282.0( 374.0) AvgX100: 290.6 |AvgR: 413.1 |Ls:0.0100 |Eps:0.9876 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    6 |OrigR: 122.0 ShpR: 426.7 |X: 305.0( 374.0) AvgX100: 293.0 |AvgR: 415.4 |Ls:0.0115 |Eps:0.9851 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    7 |OrigR: 122.0 ShpR: 314.7 |X: 284.0( 374.0) AvgX100: 291.7 |AvgR: 401.0 |Ls:0.0146 |Eps:0.9826 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    8 |OrigR: 104.0 ShpR: 274.4 |X: 275.0( 374.0) AvgX100: 289.6 |AvgR: 385.2 |Ls:0.0147 |Eps:0.9802 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep    9 |OrigR: 160.0 ShpR: 441.0 |X: 257.0( 374.0) AvgX100: 286.0 |AvgR: 391.4 |Ls:0.0139 |Eps:0.9777 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   10 |OrigR: 134.0 ShpR: 347.4 |X: 286.0( 374.0) AvgX100: 286.0 |AvgR: 387.0 |Ls:0.0136 |Eps:0.9753 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   11 |OrigR: 233.0 ShpR: 590.8 |X: 311.0( 374.0) AvgX100: 288.3 |AvgR: 405.5 |Ls:0.0185 |Eps:0.9728 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   12 |OrigR: 118.0 ShpR: 307.3 |X: 275.0( 374.0) AvgX100: 287.2 |AvgR: 397.3 |Ls:0.0171 |Eps:0.9704 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   13 |OrigR:  88.0 ShpR: 236.8 |X: 254.0( 374.0) AvgX100: 284.6 |AvgR: 385.0 |Ls:0.0215 |Eps:0.9680 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   14 |OrigR: 192.0 ShpR: 501.7 |X: 274.0( 374.0) AvgX100: 283.9 |AvgR: 393.3 |Ls:0.0207 |Eps:0.9656 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   15 |OrigR: 198.0 ShpR: 511.8 |X: 289.0( 374.0) AvgX100: 284.2 |AvgR: 401.2 |Ls:0.0207 |Eps:0.9631 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   16 |OrigR: 110.0 ShpR: 280.5 |X: 291.0( 374.0) AvgX100: 284.6 |AvgR: 393.7 |Ls:0.0284 |Eps:0.9607 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   17 |OrigR: 140.0 ShpR: 371.0 |X: 259.0( 374.0) AvgX100: 283.1 |AvgR: 392.3 |Ls:0.0334 |Eps:0.9583 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   18 |OrigR: 178.0 ShpR: 461.8 |X: 286.0( 374.0) AvgX100: 283.3 |AvgR: 396.2 |Ls:0.0436 |Eps:0.9559 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   19 |OrigR: 164.0 ShpR: 417.4 |X: 295.0( 374.0) AvgX100: 283.9 |AvgR: 397.3 |Ls:0.0438 |Eps:0.9536 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   20 |OrigR: 182.0 ShpR: 491.2 |X: 268.0( 374.0) AvgX100: 283.1 |AvgR: 402.0 |Ls:0.0535 |Eps:0.9512 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
Ep   21 |OrigR: 132.0 ShpR: 346.2 |X: 267.0( 374.0) AvgX100: 282.3 |AvgR: 399.3 |Ls:0.0566 |Eps:0.9488 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    ---
