Command line: train_new_replay_bonus_stable.py
================================================================================
Training started at 20260416-154421
Algorithm: QRD3QN
Environment: SuperMarioBros-1-3-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 40000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
Death-Zone Boost: window=150 min_samples=30 spread_thresh=100.0 boost_eps=0.4 duration=100 cooldown=40 x_offset=200.0 min_x=300.0 disable_recent=10/100
Replay Bonus: enabled=True bonus_window=200 success_margin=150 bonus_factor=30 max_age=3000 decay_gamma=0.9998 min_factor=1.0
================================================================================
Ep    1 |OrigR: 177.0 ShpR: 469.7 |X: 259.0( 259.0) AvgX100: 259.0 |AvgR: 469.7 |Ls:0.0000 |Eps:0.9975 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    2 |OrigR: 154.0 ShpR: 399.9 |X: 286.0( 286.0) AvgX100: 272.5 |AvgR: 434.8 |Ls:0.0196 |Eps:0.9950 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    3 |OrigR: 113.0 ShpR: 380.3 |X: 288.0( 288.0) AvgX100: 277.7 |AvgR: 416.6 |Ls:0.0103 |Eps:0.9925 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    4 |OrigR: 141.0 ShpR: 368.6 |X: 278.0( 288.0) AvgX100: 277.8 |AvgR: 404.6 |Ls:0.0088 |Eps:0.9900 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    5 |OrigR: 185.0 ShpR: 471.0 |X: 308.0( 308.0) AvgX100: 283.8 |AvgR: 417.9 |Ls:0.0078 |Eps:0.9876 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    6 |OrigR: 191.0 ShpR: 497.6 |X: 276.0( 308.0) AvgX100: 282.5 |AvgR: 431.2 |Ls:0.0118 |Eps:0.9851 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    7 |OrigR: 174.0 ShpR: 448.9 |X: 288.0( 308.0) AvgX100: 283.3 |AvgR: 433.7 |Ls:0.0088 |Eps:0.9826 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    8 |OrigR:  67.0 ShpR: 171.2 |X: 281.0( 308.0) AvgX100: 283.0 |AvgR: 400.9 |Ls:0.0253 |Eps:0.9802 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep    9 |OrigR: 191.0 ShpR: 504.1 |X: 266.0( 308.0) AvgX100: 281.1 |AvgR: 412.4 |Ls:0.0238 |Eps:0.9777 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   10 |OrigR: 196.0 ShpR: 504.6 |X: 290.0( 308.0) AvgX100: 282.0 |AvgR: 421.6 |Ls:0.0406 |Eps:0.9753 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   11 |OrigR: 163.0 ShpR: 423.8 |X: 279.0( 308.0) AvgX100: 281.7 |AvgR: 421.8 |Ls:0.0477 |Eps:0.9728 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   12 |OrigR: 271.0 ShpR: 654.6 |X: 382.0( 382.0) AvgX100: 290.1 |AvgR: 441.2 |Ls:0.0634 |Eps:0.9704 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   13 |OrigR: 129.0 ShpR: 480.9 |X: 333.0( 382.0) AvgX100: 293.4 |AvgR: 444.2 |Ls:0.0854 |Eps:0.9680 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   14 |OrigR: 158.0 ShpR: 406.8 |X: 279.0( 382.0) AvgX100: 292.4 |AvgR: 441.6 |Ls:0.1168 |Eps:0.9656 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   15 |OrigR: 147.0 ShpR: 388.7 |X: 266.0( 382.0) AvgX100: 290.6 |AvgR: 438.0 |Ls:0.1283 |Eps:0.9631 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   16 |OrigR: 193.0 ShpR: 500.3 |X: 287.0( 382.0) AvgX100: 290.4 |AvgR: 441.9 |Ls:0.1336 |Eps:0.9607 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   17 |OrigR: 202.0 ShpR: 525.7 |X: 278.0( 382.0) AvgX100: 289.6 |AvgR: 446.9 |Ls:0.1417 |Eps:0.9583 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   18 |OrigR: 176.0 ShpR: 447.6 |X: 298.0( 382.0) AvgX100: 290.1 |AvgR: 446.9 |Ls:0.1629 |Eps:0.9559 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   19 |OrigR:  88.0 ShpR: 237.3 |X: 256.0( 382.0) AvgX100: 288.3 |AvgR: 435.9 |Ls:0.1659 |Eps:0.9536 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   20 |OrigR: 208.0 ShpR: 537.8 |X: 284.0( 382.0) AvgX100: 288.1 |AvgR: 441.0 |Ls:0.1433 |Eps:0.9512 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   21 |OrigR: 208.0 ShpR: 539.3 |X: 281.0( 382.0) AvgX100: 287.8 |AvgR: 445.7 |Ls:0.1644 |Eps:0.9488 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   22 |OrigR: 151.0 ShpR: 390.6 |X: 288.0( 382.0) AvgX100: 287.8 |AvgR: 443.1 |Ls:0.1848 |Eps:0.9464 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   23 |OrigR: 290.0 ShpR: 705.0 |X: 374.0( 382.0) AvgX100: 291.5 |AvgR: 454.5 |Ls:0.2194 |Eps:0.9441 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   24 |OrigR: 205.0 ShpR: 535.5 |X: 278.0( 382.0) AvgX100: 291.0 |AvgR: 457.9 |Ls:0.1929 |Eps:0.9417 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   25 |OrigR: 160.0 ShpR: 402.0 |X: 312.0( 382.0) AvgX100: 291.8 |AvgR: 455.7 |Ls:0.2496 |Eps:0.9393 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
Ep   26 |OrigR: 220.0 ShpR: 560.0 |X: 299.0( 382.0) AvgX100: 292.1 |AvgR: 459.7 |Ls:0.2877 |Eps:0.9370 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |RB:  -
