Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.91 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260113-041927
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0368 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    2 |OrigR: -25.0 ShpR:  47.5 |X:   45.0(  45.0) AvgX100:  42.5 |AvgR:  41.7(  41.7)  0 |Ls: 0.0432 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    3 |OrigR: -32.0 ShpR:  35.8 |X:   40.0(  45.0) AvgX100:  41.7 |AvgR:  39.7(  41.7)  1 |Ls: 0.0382 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    4 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  45.0) AvgX100:  41.2 |AvgR:  38.8(  41.7)  2 |Ls: 0.0399 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    5 |OrigR: -74.0 ShpR:  21.6 |X:   39.0(  45.0) AvgX100:  40.8 |AvgR:  35.3(  41.7)  3 |Ls: 0.0368 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    6 |OrigR: -74.0 ShpR:  21.6 |X:   39.0(  45.0) AvgX100:  40.5 |AvgR:  33.1(  41.7)  4 |Ls: 0.0339 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    7 |OrigR: -22.0 ShpR:  61.3 |X:   51.0(  51.0) AvgX100:  42.0 |AvgR:  37.1(  41.7)  5 |Ls: 0.0628 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    8 |OrigR: 130.0 ShpR: 386.0 |X:  192.0( 192.0) AvgX100:  60.8 |AvgR:  80.7(  80.7)  0 |Ls: 0.0313 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    9 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100:  76.0 |AvgR: 116.1( 116.1)  0 |Ls: 0.0338 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   10 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100:  88.2 |AvgR: 144.5( 144.5)  0 |Ls: 0.0294 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   11 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100:  98.2 |AvgR: 167.7( 167.7)  0 |Ls: 0.0291 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   12 |OrigR: 134.0 ShpR: 395.4 |X:  196.0( 198.0) AvgX100: 106.3 |AvgR: 186.6( 186.6)  0 |Ls: 0.0314 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   13 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 113.4 |AvgR: 203.0( 203.0)  0 |Ls: 0.0293 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   14 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 119.4 |AvgR: 217.1( 217.1)  0 |Ls: 0.0369 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   15 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 124.7 |AvgR: 229.2( 229.2)  0 |Ls: 0.0299 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   16 |OrigR: 129.0 ShpR: 383.9 |X:  191.0( 198.0) AvgX100: 128.8 |AvgR: 238.9( 238.9)  0 |Ls: 0.0274 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   17 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 132.9 |AvgR: 248.4( 248.4)  0 |Ls: 0.0342 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   18 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 136.5 |AvgR: 256.8( 256.8)  0 |Ls: 0.0237 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   19 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 139.7 |AvgR: 264.3( 264.3)  0 |Ls: 0.0246 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   20 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 142.7 |AvgR: 271.0( 271.0)  0 |Ls: 0.0317 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   21 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 145.3 |AvgR: 277.2( 277.2)  0 |Ls: 0.0222 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   22 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 198.0) AvgX100: 147.6 |AvgR: 282.6( 282.6)  0 |Ls: 0.0215 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   23 |OrigR: 124.0 ShpR: 372.4 |X:  186.0( 198.0) AvgX100: 149.3 |AvgR: 286.5( 286.5)  0 |Ls: 0.0256 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   24 |OrigR: 130.0 ShpR: 386.0 |X:  192.0( 198.0) AvgX100: 151.1 |AvgR: 290.7( 290.7)  0 |Ls: 0.0222 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   25 |OrigR: 130.0 ShpR: 386.0 |X:  192.0( 198.0) AvgX100: 152.7 |AvgR: 294.5( 294.5)  0 |Ls: 0.0232 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   26 |OrigR: 128.0 ShpR: 381.3 |X:  190.0( 198.0) AvgX100: 154.2 |AvgR: 297.8( 297.8)  0 |Ls: 0.0274 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   27 |OrigR: 124.0 ShpR: 372.4 |X:  186.0( 198.0) AvgX100: 155.3 |AvgR: 300.6( 300.6)  0 |Ls: 0.0204 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   28 |OrigR: 118.0 ShpR: 361.3 |X:  181.0( 198.0) AvgX100: 156.2 |AvgR: 302.8( 302.8)  0 |Ls: 0.0208 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   29 |OrigR: 126.0 ShpR: 376.6 |X:  188.0( 198.0) AvgX100: 157.3 |AvgR: 305.3( 305.3)  0 |Ls: 0.0273 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   30 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 158.7 |AvgR: 308.5( 308.5)  0 |Ls: 0.0197 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   31 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 160.0 |AvgR: 311.4( 311.4)  0 |Ls: 0.0165 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   32 |OrigR: 212.0 ShpR: 557.2 |X:  275.0( 275.0) AvgX100: 163.6 |AvgR: 319.1( 319.1)  0 |Ls: 0.0169 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   33 |OrigR: 132.0 ShpR: 390.7 |X:  194.0( 275.0) AvgX100: 164.5 |AvgR: 321.2( 321.2)  0 |Ls: 0.0157 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   34 |OrigR: 132.0 ShpR: 390.7 |X:  194.0( 275.0) AvgX100: 165.4 |AvgR: 323.3( 323.3)  0 |Ls: 0.0120 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
