Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 222 --gamma 0.97 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final.pt
================================================================================
Training started at 20260113-195028
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 222
Resuming from checkpoint: checkpoints/qrd3qn_w51_final.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0384 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    2 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  1 |Ls: 0.0430 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    3 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  2 |Ls: 0.0408 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    4 |OrigR: -34.0 ShpR:  47.1 |X:   46.0(  46.0) AvgX100:  41.5 |AvgR:  38.7(  38.7)  0 |Ls: 0.0333 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    5 |OrigR: -42.0 ShpR:  32.8 |X:   40.0(  46.0) AvgX100:  41.2 |AvgR:  37.5(  38.7)  1 |Ls: 0.0362 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    6 |OrigR: -34.0 ShpR:  47.1 |X:   46.0(  46.0) AvgX100:  42.0 |AvgR:  39.1(  39.1)  0 |Ls: 0.0344 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    7 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.7 |AvgR:  38.7(  39.1)  1 |Ls: 0.0364 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    8 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.5 |AvgR:  38.3(  39.1)  2 |Ls: 0.0389 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    9 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.3 |AvgR:  38.0(  39.1)  3 |Ls: 0.0399 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   10 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.2 |AvgR:  37.8(  39.1)  4 |Ls: 0.0346 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   11 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.1 |AvgR:  37.7(  39.1)  5 |Ls: 0.0414 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   12 |OrigR: -24.0 ShpR:  50.1 |X:   46.0(  46.0) AvgX100:  41.5 |AvgR:  38.7(  39.1)  6 |Ls: 0.0347 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   13 |OrigR: -24.0 ShpR:  50.1 |X:   46.0(  46.0) AvgX100:  41.8 |AvgR:  39.6(  39.6)  0 |Ls: 0.0435 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   14 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.7 |AvgR:  39.3(  39.6)  1 |Ls: 0.0514 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   15 |OrigR: -74.0 ShpR:  33.6 |X:   45.0(  46.0) AvgX100:  41.9 |AvgR:  38.9(  39.6)  2 |Ls: 0.0493 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   16 |OrigR:-126.0 ShpR: -39.1 |X:  140.0( 140.0) AvgX100:  48.1 |AvgR:  34.1(  39.6)  3 |Ls: 0.0312 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   17 |OrigR:  31.0 ShpR: 386.6 |X:  221.0( 221.0) AvgX100:  58.2 |AvgR:  54.8(  54.8)  0 |Ls: 0.0286 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   18 |OrigR: 118.0 ShpR: 360.3 |X:  181.0( 221.0) AvgX100:  65.1 |AvgR:  71.8(  71.8)  0 |Ls: 0.0282 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   19 |OrigR: 116.0 ShpR: 356.1 |X:  179.0( 221.0) AvgX100:  71.1 |AvgR:  86.7(  86.7)  0 |Ls: 0.0206 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   20 |OrigR: 122.0 ShpR: 369.2 |X:  185.0( 221.0) AvgX100:  76.8 |AvgR: 100.8( 100.8)  0 |Ls: 0.0265 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   21 |OrigR: 101.0 ShpR: 323.6 |X:  165.0( 221.0) AvgX100:  81.0 |AvgR: 111.5( 111.5)  0 |Ls: 0.0515 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   22 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 221.0) AvgX100:  85.8 |AvgR: 123.5( 123.5)  0 |Ls: 0.0400 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   23 |OrigR: 134.0 ShpR: 394.4 |X:  196.0( 221.0) AvgX100:  90.6 |AvgR: 135.3( 135.3)  0 |Ls: 0.0446 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   24 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 221.0) AvgX100:  94.7 |AvgR: 145.4( 145.4)  0 |Ls: 0.0469 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   25 |OrigR: 132.0 ShpR: 390.2 |X:  194.0( 221.0) AvgX100:  98.6 |AvgR: 155.2( 155.2)  0 |Ls: 0.0452 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   26 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 221.0) AvgX100: 102.1 |AvgR: 163.7( 163.7)  0 |Ls: 0.0401 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   27 |OrigR: 122.0 ShpR: 369.2 |X:  185.0( 221.0) AvgX100: 105.1 |AvgR: 171.3( 171.3)  0 |Ls: 0.0393 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   28 |OrigR: 129.0 ShpR: 383.4 |X:  191.0( 221.0) AvgX100: 108.2 |AvgR: 178.9( 178.9)  0 |Ls: 0.0422 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   29 |OrigR:  96.0 ShpR: 314.1 |X:  161.0( 221.0) AvgX100: 110.0 |AvgR: 183.6( 183.6)  0 |Ls: 0.0437 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   30 |OrigR: 110.0 ShpR: 342.0 |X:  173.0( 221.0) AvgX100: 112.1 |AvgR: 188.8( 188.8)  0 |Ls: 0.0390 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   31 |OrigR: 389.0 ShpR: 925.9 |X:  456.0( 456.0) AvgX100: 123.2 |AvgR: 212.6( 212.6)  0 |Ls: 0.0366 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   32 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 456.0) AvgX100: 125.2 |AvgR: 217.8( 217.8)  0 |Ls: 0.0435 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   33 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 456.0) AvgX100: 127.2 |AvgR: 222.6( 222.6)  0 |Ls: 0.0387 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   34 |OrigR: 126.0 ShpR: 377.1 |X:  188.0( 456.0) AvgX100: 128.9 |AvgR: 227.1( 227.1)  0 |Ls: 0.0391 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   35 |OrigR: 133.0 ShpR: 392.3 |X:  195.0( 456.0) AvgX100: 130.8 |AvgR: 231.8( 231.8)  0 |Ls: 0.0455 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   36 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 456.0) AvgX100: 132.7 |AvgR: 236.5( 236.5)  0 |Ls: 0.0358 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
