Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.00025
================================================================================
Training started at 20260118-092144
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  55.1 |X:   50.0(  50.0) AvgX100:  50.0 |AvgR:  55.1(  55.1)  0 |Ls: 0.0365 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    2 |OrigR: -38.0 ShpR:  59.7 |X:   53.0(  53.0) AvgX100:  51.5 |AvgR:  57.4(  57.4)  0 |Ls: 0.0369 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    3 |OrigR: -55.0 ShpR:  73.0 |X:   62.0(  62.0) AvgX100:  55.0 |AvgR:  62.6(  62.6)  0 |Ls: 0.0173 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    4 |OrigR: 343.0 ShpR: 820.8 |X:  424.0( 424.0) AvgX100: 147.2 |AvgR: 252.2( 252.2)  0 |Ls: 0.0196 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    5 |OrigR: -13.0 ShpR:  91.2 |X:   65.0( 424.0) AvgX100: 130.8 |AvgR: 220.0( 252.2)  1 |Ls: 0.0186 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    6 |OrigR:  21.0 ShpR: 161.1 |X:  131.0( 424.0) AvgX100: 130.8 |AvgR: 210.2( 252.2)  2 |Ls: 0.0147 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    7 |OrigR:  49.0 ShpR: 179.4 |X:  173.0( 424.0) AvgX100: 136.9 |AvgR: 205.8( 252.2)  3 |Ls: 0.0108 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    8 |OrigR: -16.0 ShpR: 240.4 |X:  140.0( 424.0) AvgX100: 137.2 |AvgR: 210.1( 252.2)  4 |Ls: 0.0101 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    9 |OrigR:  57.0 ShpR: 264.7 |X:  159.0( 424.0) AvgX100: 139.7 |AvgR: 216.2( 252.2)  5 |Ls: 0.0074 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   10 |OrigR:  -9.0 ShpR: 259.1 |X:  203.0( 424.0) AvgX100: 146.0 |AvgR: 220.5( 252.2)  6 |Ls: 0.0105 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   11 |OrigR:  72.0 ShpR: 324.7 |X:  202.0( 424.0) AvgX100: 151.1 |AvgR: 229.9( 252.2)  7 |Ls: 0.0093 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   12 |OrigR:  49.0 ShpR: 175.4 |X:  182.0( 424.0) AvgX100: 153.7 |AvgR: 225.4( 252.2)  8 |Ls: 0.0075 |Eps: 0.9704 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   13 |OrigR: 305.0 ShpR: 684.0 |X:  506.0( 506.0) AvgX100: 180.8 |AvgR: 260.7( 260.7)  0 |Ls: 0.0129 |Eps: 0.9680 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   14 |OrigR: 127.0 ShpR: 361.2 |X:  213.0( 506.0) AvgX100: 183.1 |AvgR: 267.8( 267.8)  0 |Ls: 0.0113 |Eps: 0.9656 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   15 |OrigR: 132.0 ShpR: 378.2 |X:  215.0( 506.0) AvgX100: 185.2 |AvgR: 275.2( 275.2)  0 |Ls: 0.0158 |Eps: 0.9631 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   16 |OrigR: 130.0 ShpR: 519.0 |X:  370.0( 506.0) AvgX100: 196.8 |AvgR: 290.4( 290.4)  0 |Ls: 0.0274 |Eps: 0.9607 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   17 |OrigR: 285.0 ShpR: 652.0 |X:  448.0( 506.0) AvgX100: 211.5 |AvgR: 311.7( 311.7)  0 |Ls: 0.0360 |Eps: 0.9583 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   18 |OrigR: 124.0 ShpR: 360.9 |X:  207.0( 506.0) AvgX100: 211.3 |AvgR: 314.4( 314.4)  0 |Ls: 0.0504 |Eps: 0.9559 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   19 |OrigR: 388.0 ShpR: 795.3 |X:  704.0( 704.0) AvgX100: 237.2 |AvgR: 339.7( 339.7)  0 |Ls: 0.0675 |Eps: 0.9536 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
