================================================================================
Training started at 20251219-102853
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0392 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0272 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0207 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0164 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    6 |OrigR: -49.0 ShpR: 133.6 |X:  152.0( 602.0) AvgX100: 172.3 |AvgR: 280.5( 309.9)  1 |Ls: 0.0177 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    7 |OrigR:  -8.0 ShpR: 198.7 |X:  118.0( 602.0) AvgX100: 164.6 |AvgR: 268.8( 309.9)  2 |Ls: 0.0190 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    8 |OrigR:  73.0 ShpR: 257.8 |X:  136.0( 602.0) AvgX100: 161.0 |AvgR: 267.5( 309.9)  3 |Ls: 0.0190 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    9 |OrigR: 430.0 ShpR: 905.5 |X:  707.0( 707.0) AvgX100: 221.7 |AvgR: 338.3( 338.3)  0 |Ls: 0.0129 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   10 |OrigR: 387.0 ShpR: 985.2 |X:  569.0( 707.0) AvgX100: 256.4 |AvgR: 403.0( 403.0)  0 |Ls: 0.0196 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   11 |OrigR:   2.0 ShpR: 222.7 |X:  178.0( 707.0) AvgX100: 249.3 |AvgR: 386.6( 403.0)  1 |Ls: 0.0208 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
