Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125
================================================================================
Training started at 20260115-195525
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 115.0 ShpR: 342.0 |X:  189.0( 189.0) AvgX100: 189.0 |AvgR: 342.0( 342.0)  0 |Ls: 0.0427 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    2 |OrigR:  60.0 ShpR: 234.0 |X:  126.0( 189.0) AvgX100: 157.5 |AvgR: 288.0( 342.0)  1 |Ls: 0.0414 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    3 |OrigR:  75.0 ShpR: 262.0 |X:  138.0( 189.0) AvgX100: 151.0 |AvgR: 279.3( 342.0)  2 |Ls: 0.0390 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    4 |OrigR: -11.0 ShpR: 218.4 |X:  175.0( 189.0) AvgX100: 157.0 |AvgR: 264.1( 342.0)  3 |Ls: 0.0185 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    5 |OrigR: 288.0 ShpR: 677.3 |X:  423.0( 423.0) AvgX100: 210.2 |AvgR: 346.7( 346.7)  0 |Ls: 0.0110 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    6 |OrigR: 186.0 ShpR: 413.6 |X:  412.0( 423.0) AvgX100: 243.8 |AvgR: 357.9( 357.9)  0 |Ls: 0.0062 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    7 |OrigR: 185.0 ShpR: 494.0 |X:  260.0( 423.0) AvgX100: 246.1 |AvgR: 377.3( 377.3)  0 |Ls: 0.0059 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    8 |OrigR: 186.0 ShpR: 493.6 |X:  257.0( 423.0) AvgX100: 247.5 |AvgR: 391.9( 391.9)  0 |Ls: 0.0141 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    9 |OrigR: 239.0 ShpR: 611.9 |X:  355.0( 423.0) AvgX100: 259.4 |AvgR: 416.3( 416.3)  0 |Ls: 0.0086 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   10 |OrigR: 624.0 ShpR:1360.4 |X:  801.0( 801.0) AvgX100: 313.6 |AvgR: 510.7( 510.7)  0 |Ls: 0.0087 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   11 |OrigR: 165.0 ShpR: 630.0 |X:  364.0( 801.0) AvgX100: 318.2 |AvgR: 521.6( 521.6)  0 |Ls: 0.0097 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
